Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,18-29 years,20,460,18,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,25-34 years,38,595,37,20,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,30-49 years,187,"1,852",173,109,,260,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,35-44 years,84,858,63,38,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,45-54 years,173,"1,590",187,114,,253,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,50-64 years,553,"4,632",578,324,14,821,
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,55-64 years,458,"3,692",473,265,11,677,
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,65-74 years,794,"6,477",855,490,19,"1,178",
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,75-84 years,962,"8,991","1,021",557,15,"1,441",
1/21/2021,1/1/2020,1/16/2021,Arizona,Female,85 years and over,"1,016","11,993","1,011",503,10,"1,534",
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Arkansas,All Sexes,All Ages,"3,728","37,869","3,769","1,662",101,"5,931",
1/21/2021,1/1/2020,1/16/2021,Arkansas,Male,All Ages,"1,894","19,699","1,998",911,51,"3,031",
