State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Density,Pop,LandArea,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
USVirgin Islands,0,0,0,0,0,0,0.0,0.0,0.0,Region 2,975,975,975,975,975,975,975,975,975,975,975,975,975,975,"6,825","6,825"
District of Columbia,0,0,0,0,0,0,0.0,0.0,0.0,Region 3,"6,825","6,825","4,875","4,875","5,850","5,850","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","37,050","37,050"
Philadelphia,0,0,0,0,0,0,0.0,0.0,0.0,Region 3,"13,650","13,650","9,750","9,750","12,675","12,675","9,750","9,750","9,750","9,750","10,725","10,725","10,725","10,725","77,025","77,025"
Chicago,0,0,0,0,0,0,0.0,0.0,0.0,Region 5,"23,400","23,400","16,575","16,575","21,450","21,450","16,575","16,575","16,575","16,575","17,550","17,550","17,550","17,550","129,675","129,675"
San Antonio ,0,0,0,0,0,0,0.0,0.0,0.0,Region 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston ,0,0,0,0,0,0,0.0,0.0,0.0,Region 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,"5,850",0,0,0,0,0,"7,800",0,0,0,0,0,0,0,"13,650",0
Guam,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,"11,700",0,0,0,0,0,"7,800",0,0,0,0,0,0,0,"19,500",0
Marshall Islands,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,"5,850",0,0,0,0,0,"7,800",0,0,0,0,0,0,0,"13,650",0
Palau,0,0,0,0,0,0,0.0,0.0,0.0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Entities ,0,0,0,0,0,0,0.0,0.0,0.0,0,156000,142350,"102,375","102,375","128,700","128,700","117,000","101,400","102,375","102,375","105,300","105,300","105,300","105,300","817,050","787,800"
Total,0,0,0,0,0,0,0.0,0.0,0.0,0,"2,980,575","2,943,525","2,071,875","2,071,875","2,643,225","2,643,225","2,131,350","2,092,350","2,084,550","2,084,550","2,149,875","2,149,875","2,149,875","2,149,875",0,0
